customer_id,order_id,order_size,customers_unique_products_count_total,customers_unique_brands_count_total,customers_unique_category_count_total
668,145,4,5,5,4
668,493,1,5,5,4
668,495,1,5,5,4
671,4655,2,2,2,2
673,886,2,2,2,2
673,887,2,2,2,2
675,608,1,1,1,1
678,3753,4,4,4,4
681,47,2,2,2,2
685,936,3,5,5,4
685,3167,2,5,5,4
687,3161,2,2,2,2
688,1577,1,3,3,3
688,1582,3,3,3,3
694,3649,4,4,4,4
695,3733,1,1,1,1
701,3906,3,3,3,3
702,3503,1,1,1,1
708,1851,1,2,2,2
708,1853,2,2,2,2
710,930,3,3,3,3
710,931,3,3,3,3
713,590,2,4,4,4
713,1178,1,4,4,4
713,1181,2,4,4,4
716,659,1,1,1,1
719,1894,2,2,2,2
723,2717,5,5,5,5
727,2173,2,2,2,2
728,3126,1,1,1,1
730,792,3,3,3,3
731,2719,3,3,3,3
732,416,2,2,2,2
733,29,3,6,5,6
733,240,3,6,5,6
736,4686,1,1,1,1
744,341,2,5,5,5
744,2136,3,5,5,5
745,1271,3,3,3,2
746,1753,3,3,3,3
749,785,3,3,3,3
750,237,1,1,1,1
751,355,1,1,1,1
752,4642,2,2,2,1
754,49,3,3,3,3
755,3639,3,3,3,3
756,4314,3,3,3,3
766,4382,3,3,3,3
767,1009,1,8,8,6
767,1012,3,8,8,6
767,4790,5,8,8,6
768,5060,3,3,3,3
771,911,1,7,6,6
771,915,4,7,6,6
771,2466,3,7,6,6
772,896,2,2,2,2
774,4191,1,1,1,1
775,4544,1,1,1,1
776,2056,2,3,3,3
776,2059,3,3,3,3
778,1024,1,1,1,1
781,4558,2,2,2,2
783,2802,1,1,1,1
786,72,2,2,2,2
786,73,2,2,2,2
791,425,3,3,3,3
792,4983,3,3,3,3
794,4103,2,2,2,1
795,1176,3,3,3,3
797,2012,3,4,4,4
797,5036,1,4,4,4
805,50,1,5,5,4
805,211,4,5,5,4
808,3553,4,4,4,4
808,3554,4,4,4,4
810,1640,2,2,2,2
814,667,1,1,1,1
816,550,1,1,1,1
817,475,1,2,2,2
817,2933,1,2,2,2
818,1416,5,7,7,6
818,4828,2,7,7,6
819,153,3,4,4,4
819,154,3,4,4,4
819,2099,1,4,4,4
819,2100,1,4,4,4
820,120,1,1,1,1
823,1879,2,2,2,2
824,1395,1,1,1,1
825,3732,1,7,7,6
825,4926,6,7,7,6
825,4928,6,7,7,6
826,5025,2,2,2,2
829,4586,4,4,4,3
830,3328,1,1,1,1
830,3329,1,1,1,1
833,131,2,4,4,4
833,132,2,4,4,4
833,1892,3,4,4,4
834,1914,1,2,2,2
834,1920,2,2,2,2
835,632,4,4,4,2
844,2505,1,1,1,1
845,1468,3,4,4,4
845,4033,1,4,4,4
846,4491,3,3,3,3
847,4131,1,1,1,1
848,2690,1,1,1,1
850,1661,1,2,2,1
850,1662,1,2,2,1
850,1665,2,2,2,1
851,37,1,1,1,1
853,3318,2,2,2,2
854,1713,2,2,2,2
855,258,3,3,3,3
856,3410,2,2,2,2
857,4680,2,2,2,1
858,751,1,1,1,1
859,4198,2,2,2,2
862,174,2,2,2,2
862,175,2,2,2,2
871,142,1,2,2,2
871,305,1,2,2,2
872,1138,2,2,2,2
872,1139,2,2,2,2
873,3367,1,1,1,1
875,52,2,2,2,2
876,229,4,4,4,4
877,325,2,2,2,2
883,2002,3,3,3,2
884,3777,1,1,1,1
891,879,1,1,1,1
892,3219,1,1,1,1
893,3970,1,1,1,1
899,556,1,3,3,3
899,963,2,3,3,3
900,1637,1,1,1,1
905,103,4,4,4,4
911,4180,2,2,2,2
913,685,1,1,1,1
922,3923,4,4,4,4
923,3754,2,4,4,4
923,3755,4,4,4,4
924,1475,1,1,1,1
925,71,2,2,2,2
927,64,1,1,1,1
930,3383,3,3,3,3
932,2815,1,1,1,1
933,526,1,1,1,1
936,2024,1,1,1,1
936,2025,1,1,1,1
941,2309,1,1,1,1
942,4631,1,1,1,1
943,3869,2,2,2,2
945,846,1,2,2,2
945,4784,1,2,2,2
945,4793,1,2,2,2
949,82,1,1,1,1
954,2376,1,1,1,1
957,3177,2,2,2,2
959,1499,3,3,3,3
960,281,3,3,3,2
967,3711,3,3,3,2
969,5009,2,2,2,2
969,5012,2,2,2,2
970,825,1,1,1,1
972,197,3,3,3,2
974,2094,3,3,3,3
978,303,3,3,3,3
979,4980,2,2,2,2
980,51,3,5,5,5
980,1270,2,5,5,5
992,309,2,2,2,2
993,1436,4,4,4,4
995,275,2,2,2,2
997,2299,3,3,3,3
1000,835,2,2,2,2
1004,326,3,4,4,4
1004,641,1,4,4,4
1010,1744,1,1,1,1
1011,2901,1,1,1,1
1017,2284,1,1,1,1
1018,177,3,3,3,3
1019,735,1,1,1,1
1021,394,1,1,1,1
1021,395,1,1,1,1
1023,470,3,3,3,3
1024,4095,5,5,5,5
1025,2838,1,1,1,1
1025,2839,1,1,1,1
1029,1668,1,1,1,1
1029,1669,1,1,1,1
1029,1671,1,1,1,1
1030,502,4,4,4,3
1034,3742,1,1,1,1
1035,200,2,2,2,2
1035,201,2,2,2,2
1038,4007,1,1,1,1
1038,4009,1,1,1,1
1043,392,3,3,3,3
1045,4934,4,4,4,4
1048,76,1,2,2,2
1048,248,1,2,2,2
1051,696,2,2,2,2
1053,4961,1,1,1,1
1055,1977,2,4,4,4
1055,4825,2,4,4,4
1062,694,1,1,1,1
1062,697,1,1,1,1
1068,55,1,1,1,1
1070,3936,1,1,1,1
1071,3714,1,1,1,1
1071,3715,1,1,1,1
1072,2514,1,1,1,1
1077,4997,1,4,4,3
1077,5014,4,4,4,3
1081,1294,1,2,2,2
1081,1297,1,2,2,2
1081,3103,1,2,2,2
1083,2808,1,1,1,1
1090,280,1,1,1,1
1093,1318,2,3,3,2
1093,1319,3,3,3,2
1096,2752,1,1,1,1
1099,3022,3,2,2,2
1102,474,2,4,4,3
1102,1626,2,4,4,3
1106,157,1,4,4,4
1106,2507,3,4,4,4
1109,4879,2,2,2,2
1116,1974,2,2,2,1
1124,3915,1,1,1,1
1125,2197,1,1,1,1
1127,462,2,2,2,1
1132,1067,1,3,3,3
1132,1070,3,3,3,3
1137,1655,1,2,2,2
1137,1657,1,2,2,2
1137,2575,1,2,2,2
1143,86,2,5,5,4
1143,1390,3,5,5,4
1146,3198,2,3,3,3
1146,4361,1,3,3,3
1151,4400,1,2,2,2
1151,4404,2,2,2,2
1153,337,5,6,6,6
1153,2882,1,6,6,6
1163,953,3,3,3,3
1164,70,2,2,2,2
1166,4160,1,1,1,1
1167,1793,3,3,3,3
1168,1133,2,2,2,2
1169,336,3,3,3,3
1179,104,2,2,2,2
1182,573,1,1,1,1
1185,1514,2,3,3,3
1185,2554,1,3,3,3
1186,1567,2,6,6,5
1186,3613,4,6,6,5
1189,297,4,4,3,4
1190,1694,4,6,6,6
1190,1697,6,6,6,6
1196,378,1,1,1,1
1198,4685,2,2,2,2
1203,4285,1,1,1,1
1204,1708,1,1,1,1
1204,1709,1,1,1,1
1206,369,3,4,4,4
1206,665,1,4,4,4
1207,949,1,4,4,4
1207,950,1,4,4,4
1207,951,4,4,4,4
1210,1156,1,1,1,1
1211,2433,1,1,1,1
1212,3344,1,2,2,2
1212,3346,2,2,2,2
1217,718,1,1,1,1
1221,1008,1,1,1,1
1222,2261,1,1,1,1
1222,2262,1,1,1,1
1224,3538,1,1,1,1
1226,2564,3,3,3,3
1226,2569,3,3,3,3
1229,539,3,3,3,3
1232,171,4,4,4,4
1236,500,2,3,3,3
1236,501,2,3,3,3
1236,2651,1,3,3,3
1237,672,1,4,4,4
1237,675,4,4,4,4
1238,1813,2,2,2,2
1239,3547,4,4,4,4
1244,162,3,6,6,6
1244,596,3,6,6,6
1248,3360,3,3,3,3
1249,4030,3,3,3,3
1252,81,2,2,2,2
1254,2538,1,2,2,2
1254,4764,1,2,2,2
1258,4379,3,3,3,3
1262,179,3,8,8,7
1262,1427,3,8,8,7
1262,3493,2,8,8,7
1267,4858,3,3,3,3
1268,78,3,3,3,3
1269,362,1,1,1,1
1269,363,1,1,1,1
1269,365,1,1,1,1
1270,278,1,1,1,1
1272,1068,2,2,2,2
1273,1434,2,3,3,3
1273,2093,1,3,3,3
1274,436,4,8,7,7
1274,2008,1,8,7,7
1274,3014,2,8,7,7
1274,3017,3,8,7,7
1280,2541,3,5,5,4
1280,4013,1,5,5,4
1280,4426,1,5,5,4
1282,688,4,4,3,3
1283,119,3,5,5,5
1283,233,2,5,5,5
1285,549,2,2,2,2
1287,144,1,8,8,6
1287,166,1,8,8,6
1287,167,5,8,8,6
1287,168,7,8,8,6
1295,3616,2,2,2,2
1296,1424,2,2,2,2
1296,1425,2,2,2,2
1307,4806,2,2,2,2
1309,553,1,1,1,1
1315,512,1,1,1,1
1317,3473,2,2,2,2
1326,1332,2,2,2,2
1327,1952,1,1,1,1
1328,848,1,1,1,1
1332,1688,5,5,5,5
1334,1404,3,3,2,3
1335,1742,1,1,1,1
1335,1743,1,1,1,1
1339,383,3,8,7,7
1339,706,5,8,7,7
1341,193,2,2,2,2
1344,199,1,1,1,1
1345,2171,2,2,2,2
1346,3522,3,3,3,3
1349,217,1,1,1,1
1355,1980,1,1,1,1
1355,1981,1,1,1,1
1357,3265,1,1,1,1
1359,4141,3,3,3,3
1375,895,1,4,3,3
1375,2461,3,4,3,3
1378,503,2,2,2,2
1380,3568,1,4,4,4
1380,3575,4,4,4,4
1393,4864,3,3,3,3
1395,1524,2,5,5,4
1395,1525,5,5,5,4
1399,1438,2,2,2,2
1400,1685,1,1,1,1
1401,4603,1,1,1,1
1406,2530,1,1,1,1
1413,3587,1,1,1,1
1417,4605,1,1,1,1
1419,1779,1,1,1,1
1425,1365,1,2,2,2
1425,5105,1,2,2,2
1433,115,2,2,2,2
1450,818,3,3,3,3
1452,5072,2,2,2,2
1453,2176,4,4,4,4
1457,3348,1,1,1,1
1457,3349,1,1,1,1
1458,4111,1,1,1,1
1468,1153,1,3,3,3
1468,4225,2,3,3,3
1471,372,1,2,2,2
1471,373,2,2,2,2
1472,2370,4,4,2,4
1483,4547,1,1,1,1
1486,630,1,1,1,1
1490,2347,1,1,1,1
1493,4838,2,2,2,2
1493,4843,2,2,2,2
1499,2595,2,2,2,1
1502,2396,5,5,5,4
1502,2397,5,5,5,4
1508,1292,1,1,1,1
1510,5102,3,3,3,3
1512,4903,1,1,1,1
1513,2489,1,1,1,1
1515,4261,1,1,1,1
1517,156,2,2,2,2
1518,4415,1,1,1,1
1523,3492,2,2,2,2
1527,4375,3,3,3,3
1529,715,1,1,1,1
1530,1197,1,2,2,2
1530,1198,2,2,2,2
1530,1199,2,2,2,2
1531,1799,2,2,2,2
1532,1698,2,2,2,2
1533,766,4,8,8,5
1533,2949,4,8,8,5
1533,2950,4,8,8,5
1535,271,2,2,2,2
1541,3646,1,1,1,1
1543,1903,1,1,1,1
1544,5030,2,2,2,2
1549,701,1,2,2,2
1549,2511,1,2,2,2
1556,2301,1,1,1,1
1559,1500,2,2,2,2
1563,150,2,2,2,2
1564,4882,1,1,1,1
1567,4047,1,1,1,1
1584,1004,1,1,1,1
1589,468,2,2,2,2
1597,1389,1,1,1,1
1598,3855,4,4,4,4
1601,2191,2,2,2,2
1602,2576,2,2,2,2
1606,4834,1,1,1,1
1609,479,4,4,4,4
1609,480,4,4,4,4
1609,481,4,4,4,4
1614,184,1,1,1,1
1616,3557,1,1,1,1
1617,1037,2,3,3,3
1617,1039,3,3,3,3
1621,542,3,3,3,3
1624,1542,1,2,2,2
1624,1993,1,2,2,2
1627,3262,1,1,1,1
1629,393,1,5,5,4
1629,510,4,5,5,4
1638,635,2,2,2,2
1639,5010,1,1,1,1
1644,2892,1,1,1,1
1648,625,1,1,1,1
1650,664,1,2,2,2
1650,1027,1,2,2,2
1658,3491,1,1,1,1
1659,256,3,3,3,3
1660,623,1,1,1,1
1664,2648,1,1,1,1
1666,513,3,3,3,3
1668,941,4,4,4,4
1669,404,1,1,1,1
1670,1260,1,1,1,1
1670,1261,1,1,1,1
1673,777,2,2,2,2
1678,231,2,3,3,2
1678,232,3,3,3,2
1679,2419,3,3,3,2
1681,689,1,1,1,1
1682,224,1,3,3,3
1682,225,3,3,3,3
1683,5029,2,2,2,2
1683,5032,2,2,2,2
1686,4294,2,2,2,2
1688,433,3,3,3,3
1689,298,2,2,2,2
1696,4658,2,2,2,2
1699,3013,2,2,2,2
1701,871,1,3,3,2
1701,2587,2,3,3,2
1704,291,3,3,3,3
1723,209,3,5,5,5
1723,214,3,5,5,5
1723,215,5,5,5,5
1725,986,3,5,5,4
1725,1782,2,5,5,4
1726,287,2,4,4,3
1726,483,2,4,4,3
1727,1259,4,4,4,3
1730,755,1,7,7,5
1730,4446,3,7,7,5
1730,4814,3,7,7,5
1734,3311,3,3,3,3
1737,2460,1,1,1,1
1740,1447,1,2,2,2
1740,4031,1,2,2,2
1744,2859,2,2,2,2
1747,4510,1,1,1,1
1753,176,2,2,2,2
1760,3211,3,4,4,4
1760,3603,1,4,4,4
1765,432,2,2,2,2
1769,3248,3,4,4,4
1769,3251,4,4,4,4
1771,3305,1,1,1,1
1772,283,2,2,2,2
1775,1201,1,1,1,1
1779,348,2,2,2,2
1791,856,1,1,1,1
1794,1036,3,3,3,2
1800,497,1,1,1,1
1808,1387,1,1,1,1
1810,969,1,4,4,4
1810,2747,3,4,4,4
1815,902,2,5,5,5
1815,3169,3,5,5,5
1817,3701,3,3,3,3
1819,2535,2,2,2,2
1821,1565,3,3,3,2
1826,285,2,2,2,2
1828,2497,4,4,3,4
1829,1884,3,3,3,2
1833,3058,3,3,3,3
1833,3059,3,3,3,3
1835,314,2,7,7,6
1835,650,5,7,7,6
1839,4960,1,1,1,1
1848,5046,3,3,3,3
1849,3721,1,1,1,1
1853,3933,2,2,2,2
1855,795,1,1,1,1
1856,1803,5,5,5,4
1857,2590,3,3,3,3
1860,2029,2,2,2,2
1862,1235,1,1,1,1
1869,1452,1,1,1,1
1870,409,4,4,4,4
1875,3582,1,1,1,1
1876,587,1,1,1,1
1876,589,1,1,1,1
1877,4138,3,3,3,3
1879,3049,1,4,4,3
1879,3055,3,4,4,3
1879,3787,1,4,4,3
1883,2310,4,6,6,5
1883,2313,6,6,6,5
1884,1622,1,1,1,1
1885,601,1,1,1,1
1886,2436,1,1,1,1
1888,905,1,1,1,1
1889,569,3,6,6,6
1889,570,3,6,6,6
1889,1572,3,6,6,6
1897,2711,1,1,1,1
1906,1864,1,1,1,1
1908,913,3,4,4,4
1908,2006,1,4,4,4
1910,263,6,6,5,5
1910,264,6,6,5,5
1911,873,1,4,3,3
1911,3358,2,4,3,3
1911,3361,3,4,3,3
1917,648,3,3,3,3
1918,619,1,1,1,1
1922,1174,3,3,3,2
1923,2572,5,5,5,4
1932,4352,4,4,3,4
1937,2308,1,1,1,1
1941,4490,2,2,2,2
1945,1435,1,5,4,4
1945,4019,1,5,4,4
1945,4021,3,5,4,4
1945,4026,4,5,4,4
1947,1136,1,1,1,1
1947,1137,1,1,1,1
1952,446,1,2,2,2
1952,448,2,2,2,2
1953,2294,5,5,5,4
1956,1509,1,1,1,1
1956,1510,1,1,1,1
1957,265,1,3,3,3
1957,266,2,3,3,3
1957,267,3,3,3,3
1958,845,2,2,2,2
1959,4061,2,2,2,2
1964,4143,1,1,1,1
1967,681,3,4,4,4
1967,3380,1,4,4,4
1972,3404,2,2,2,2
1977,400,1,1,1,1
1981,2853,4,4,4,4
1986,1613,3,3,3,2
1987,1040,2,4,4,2
1987,1041,2,4,4,2
1987,4099,2,4,4,2
1990,4817,1,1,1,1
1991,2618,1,1,1,1
1994,1956,1,2,2,2
1994,1959,2,2,2,2
1997,1728,1,1,1,1
1997,1729,1,1,1,1
1998,3409,1,1,1,1
1998,3411,1,1,1,1
2000,932,2,3,3,3
2000,934,3,3,3,3
2005,259,1,1,1,1
2006,1108,4,4,3,4
2007,1132,1,1,1,1
2010,1010,1,1,1,1
2011,3843,3,3,3,3
2013,3838,1,1,1,1
2022,4242,1,1,1,1
2029,4900,1,1,1,1
2032,680,2,2,2,2
2034,274,3,3,3,3
2040,1543,3,6,6,4
2040,1545,4,6,6,4
2040,3695,2,6,6,4
2049,317,2,2,2,2
2050,2806,1,1,1,1
2052,1007,4,4,4,3
2054,1230,3,3,3,3
2056,5005,2,2,2,2
2058,2114,1,4,4,4
2058,2119,4,4,4,4
2066,3025,4,4,4,4
2068,5049,1,1,1,1
2069,993,1,2,2,2
2069,995,2,2,2,2
2069,996,2,2,2,2
2071,3066,4,4,4,3
2071,3067,4,4,4,3
2078,1464,3,3,3,3
2079,633,4,4,4,4
2092,1049,2,2,2,2
2094,3426,2,2,2,2
2095,908,1,1,1,1
2095,909,1,1,1,1
2099,1336,5,5,5,5
2106,548,3,3,2,2
2113,789,1,1,1,1
2115,2729,3,3,3,3
2117,3638,1,1,1,1
2121,4951,2,2,2,2
2121,4954,2,2,2,2
2122,964,3,3,3,3
2124,2515,2,5,5,5
2124,2589,1,5,5,5
2124,3116,2,5,5,5
2128,2424,1,1,1,1
2135,2476,1,1,1,1
2136,1091,1,1,1,1
2143,2132,1,3,3,3
2143,2529,2,3,3,3
2145,1762,4,4,4,4
2145,1764,4,4,4,4
2150,615,1,2,2,2
2150,1951,1,2,2,2
2152,339,4,4,4,4
2152,340,4,4,4,4
2154,3699,3,3,3,3
2157,1026,4,4,4,4
2162,2075,2,3,3,3
2162,2077,3,3,3,3
2169,2842,2,2,2,2
2169,2843,2,2,2,2
2170,4578,5,5,5,5
2180,4874,3,3,3,3
2184,1170,1,1,1,1
2185,1302,2,2,2,2
2191,3700,1,1,1,1
2197,2689,2,2,2,1
2199,1814,3,7,7,5
2199,1815,5,7,7,5
2199,2704,2,7,7,5
2200,1140,3,3,3,3
2203,2543,1,4,4,4
2203,4162,1,4,4,4
2203,4170,3,4,4,4
2205,561,1,1,1,1
2207,4582,2,3,3,3
2207,4894,1,3,3,3
2209,360,2,2,2,2
2216,3749,1,1,1,1
2218,658,1,1,1,1
2221,1862,2,2,2,2
2224,3023,1,1,1,1
2225,741,1,1,1,1
2229,562,1,1,1,1
2230,3231,3,2,2,2
2233,1598,1,1,1,1
2233,1600,1,1,1,1
2239,1128,6,7,6,5
2239,3657,1,7,6,5
2242,682,1,1,1,1
2244,322,4,4,4,4
2244,323,4,4,4,4
2246,3424,2,2,2,2
2253,417,3,3,3,3
2255,329,1,1,1,1
2260,1618,1,1,1,1
2261,381,3,4,4,3
2261,1949,1,4,4,3
2265,1470,1,1,1,1
2272,1563,2,2,2,2
2274,504,1,1,1,1
2276,444,1,3,3,3
2276,445,1,3,3,3
2276,1064,2,3,3,3
2285,2761,2,2,2,2
2291,2353,4,4,4,3
2292,430,2,2,2,2
2300,776,1,1,1,1
2301,611,2,8,7,7
2301,3005,2,8,7,7
2301,3006,2,8,7,7
2301,3972,4,8,7,7
2302,770,1,1,1,1
2305,313,2,4,4,4
2305,397,2,4,4,4
2306,3737,3,3,3,3
2309,1540,2,2,2,2
2311,4058,4,4,4,3
2316,2585,1,2,2,2
2316,2586,2,2,2,2
2322,679,3,3,3,3
2325,1507,1,1,1,1
2325,1508,1,1,1,1
2333,669,1,1,1,1
2333,670,1,1,1,1
2334,544,1,6,6,5
2334,1489,5,6,6,5
2337,456,3,3,3,3
2339,1723,2,2,2,2
